,,,,,,,,,,,
name, state,location,course_level,fees,branches,", min_score", max_score, review_text, rating.,,
National Institute of Science and Technology,Odisha, Berhampur,UG,232000,Civil Engineering,1103211,1103211,good,3.7,,
National Institute of Science and Technology,Odisha, Berhampur,UG,232000,Computer Science and Engineering,306747,1104559,good,3.7,,
National Institute of Science and Technology,Odisha, Berhampur,UG,232000,Computer Science and Engineering(2nd shift),587374,1105374,good,3.7,,
National Institute of Science and Technology,Odisha, Berhampur,UG,232000,Electrical and Electronics Engineering,896267,896267,good,3.7,,
National Institute of Science and Technology,Odisha, Berhampur,UG,232000,Electronics & Communication Engineering,516780,1102879,good,3.7,,
National Institute of Science and Technology,Odisha, Berhampur,UG,232000,Information Technology,604882,969821,good,3.7,,
National Institute of Science and Technology,Odisha, Berhampur,UG,232000,Mechanical Engineering,955513,955513,good,3.7,,
NM Institute of Engineering and Technology,Odisha, Bhubaneswar,UG,232000,Civil Engineering,988948,1105781,good,3.7,,
NM Institute of Engineering and Technology,Odisha, Bhubaneswar,UG,232000,Computer Science and Engineering,953572,1105524,good,3.7,,
NM Institute of Engineering and Technology,Odisha, Bhubaneswar,UG,232000,Electronics & Communication Engineering,1105538,1105538,good,3.7,,
NM Institute of Engineering and Technology,Odisha, Bhubaneswar,UG,232000,Mechanical Engineering,874080,1106109,good,3.7,,
Oxford College of Engineering and Management,Odisha, Bhubaneswar,UG,232000,Civil Engineering,1104717,1106535,good,3.7,,
Oxford College of Engineering and Management,Odisha, Bhubaneswar,UG,232000,Computer Science and Engineering,850302,1106050,good,3.7,,
Oxford College of Engineering and Management,Odisha, Bhubaneswar,UG,232000,Electrical Engineering,1103520,1103520,good,3.7,,
Oxford College of Engineering and Management,Odisha, Bhubaneswar,UG,232000,Mechanical Engineering,1104907,1104962,good,3.7,,
Padmashree Krutartha Acharya College of Engineering,Odisha, Bargarh,UG,232000,Civil Engineering,1100474,1105819,good,3.7,,
Padmashree Krutartha Acharya College of Engineering,Odisha, Bargarh,UG,232000,Electrical Engineering,1101035,1106456,good,3.7,,
Padmashree Krutartha Acharya College of Engineering,Odisha, Bargarh,UG,232000,Mechanical Engineering,1100321,1103968,good,3.7,,
Piloo Modi College of Architecture,Odisha, Cuttack,UG,232000,B ARCH,16872,137341,good,3.7,,
Raajdhani Engineering College,Odisha, Bhubaneswar,UG,232000,Civil Engineering,943579,1105074,good,3.7,,
Raajdhani Engineering College,Odisha, Bhubaneswar,UG,232000,Computer Science and Engineering,596445,1106280,good,3.7,,
Raajdhani Engineering College,Odisha, Bhubaneswar,UG,232000,Electrical and Electronics Engineering,1101271,1106503,good,3.7,,
Raajdhani Engineering College,Odisha, Bhubaneswar,UG,232000,Electrical Engineering,1106071,1106071,good,3.7,,
